time,total_free_energy,total_solute
0.0100000000,5815.7572440704,20504.4690550850
0.0300000000,5150.9957874028,20504.4690550852
0.0700000000,4568.7007152979,20504.4690550864
0.1500000000,4093.9508924550,20504.4690550805
0.2300000000,3870.8318868614,20504.4690550806
0.3900000000,3705.2027522253,20504.4690550805
0.4700000000,3665.1924946964,20504.4690550805
0.6300000000,3621.6143739563,20504.4690550805
0.7100000000,3605.1918494006,20504.4690551064
0.8700000000,3578.0208991676,20504.4690551063
1.0300000000,3553.5386181423,20504.4690551064
1.1900000000,3530.3252804776,20504.4690551158
1.5100000000,3486.3242207278,20504.4690551999
2.1500000000,3398.5850248547,20504.4690551999
2.4700000000,3355.0224389659,20504.4690552000
2.6300000000,3333.0711680292,20504.4690552007
2.9500000000,3289.1243019905,20504.4690552084
3.5900000000,3200.9287385757,20504.4690552083
3.9100000000,3157.1816511573,20504.4690552083
4.2300000000,3113.8470011971,20504.4690552041
4.5500000000,3070.8624208562,20504.4690552040
4.7100000000,3049.3060353971,20504.4690552043
4.8700000000,3026.9180310512,20504.4690552071
5.0300000000,3004.8021936388,20504.4690552290
5.3500000000,2962.5095925811,20504.4690552276
5.9900000000,2879.6602144838,20504.4690552094
6.3100000000,2839.2285744601,20504.4690552088
6.6300000000,2799.3703646389,20504.4690552081
6.9500000000,2759.9599269169,20504.4690552075
7.2700000000,2719.7965456971,20504.4690552074
7.4300000000,2698.9793951571,20504.4690552122
7.7500000000,2658.6600982953,20504.4690552352
8.3900000000,2581.7099638503,20504.4690552111
8.7100000000,2544.5829300104,20504.4690552105
9.3500000000,2473.9892031303,20504.4690552085
9.6700000000,2440.0116689619,20504.4690552083
10.3100000000,2374.6431532367,20504.4690552082
10.6300000000,2343.1066463561,20504.4690552080
11.2700000000,2283.1135938695,20504.4690552079
11.5900000000,2254.2885594350,20504.4690552079
12.2300000000,2199.1440667368,20504.4690552078
12.5500000000,2172.6096422718,20504.4690552078
13.1900000000,2122.4380635160,20504.4690552078
13.5100000000,2098.3014931055,20504.4690552077
14.1500000000,2051.9508313928,20504.4690553386
15.4300000000,1968.0378636888,20504.4690551645
16.0700000000,1929.2603407470,20504.4690552194
17.3500000000,1857.9086005724,20504.4690551939
17.9900000000,1824.8886420305,20504.4690552090
19.2700000000,1763.3697533914,20504.4690550521
19.9100000000,1734.5839373382,20504.4690550676
21.1900000000,1680.6868876305,20504.4690550519
21.8300000000,1655.3680958608,20504.4690550618
23.1100000000,1607.1931814886,20504.4690550586
23.7500000000,1584.2022302193,20504.4690550621
25.0300000000,1541.5287817270,20504.4690550623
25.6700000000,1520.9072438024,20504.4690550613
26.9500000000,1481.7262857858,20504.4690550605
27.5900000000,1463.0615332407,20504.4690550562
28.2300000000,1444.8816247330,20504.4690550530
28.8700000000,1427.1131430112,20504.4690550486
29.1900000000,1418.4098346099,20504.4690550017
29.5100000000,1409.8385239820,20504.4690550017
29.8300000000,1401.1159726747,20504.4690550016
29.9900000000,1396.1203451828,20504.4690550017
30.1500000000,1390.1162641793,20504.4690549935
30.4700000000,1378.4426789108,20504.4690549940
30.6300000000,1372.9896038176,20504.4690548814
30.9500000000,1362.6390824179,20504.4690548932
31.5900000000,1343.3264882824,20504.4690549240
31.9100000000,1334.0508392809,20504.4690549242
32.5500000000,1316.4301247201,20504.4690549237
32.8700000000,1307.9250658793,20504.4690549237
33.5100000000,1291.6237955949,20504.4690549698
34.7900000000,1260.9290109757,20504.4690549633
35.4300000000,1246.1913160922,20504.4690549534
36.7100000000,1218.7884598402,20504.4690550452
37.3500000000,1205.7518225856,20504.4690550446
38.6300000000,1181.2179802881,20504.4690550193
39.2700000000,1169.4752630003,20504.4690550190
40.5500000000,1147.0810787873,20504.4690550107
41.1900000000,1136.3920008358,20504.4690550107
42.4700000000,1116.4476209767,20504.4690550110
43.1100000000,1106.9049057338,20504.4690550104
44.3900000000,1088.7804839498,20504.4690550049
45.0300000000,1080.0652501516,20504.4690550050
46.3100000000,1063.6610387232,20504.4690550046
46.9500000000,1055.8323222345,20504.4690550044
48.2300000000,1040.8519572582,20504.4690550041
48.8700000000,1033.6278597965,20504.4690550042
50.1500000000,1020.1869647181,20504.4690551850
52.7100000000,996.3222625392,20504.4690551850
53.9900000000,985.3455903306,20504.4690553355
56.5500000000,965.8195733487,20504.4690553638
57.8300000000,956.8972054244,20504.4690553943
60.3900000000,940.9554992506,20504.4690556067
61.6700000000,933.6353865773,20504.4690556287
64.2300000000,920.7145881525,20504.4690556279
65.5100000000,914.7919367846,20504.4690556495
68.0700000000,904.3314842454,20504.4690555517
69.3500000000,899.5872763369,20504.4690555508
71.9100000000,891.1658375200,20504.4690555759
73.1900000000,887.2528643880,20504.4690555789
75.7500000000,880.2511281308,20504.4690555712
77.0300000000,877.0648229591,20504.4690555711
78.3100000000,874.1102747850,20504.4690555711
79.5900000000,871.3572796844,20504.4690555718
80.2300000000,870.0357622334,20504.4690555651
80.8700000000,868.7416247713,20504.4690555635
81.5100000000,869.1055541297,20504.4690555646
81.8300000000,868.4065144148,20504.4690555653
82.4700000000,867.1719101807,20504.4690555595
83.7500000000,864.9218503176,20504.4690555594
86.3100000000,860.9404378524,20504.4690557353
91.4300000000,854.5554461692,20504.4690557349
93.9900000000,851.7510154355,20504.4690557350
95.2700000000,850.4214496602,20504.4690557351
97.8300000000,847.8823107037,20504.4690557347
99.1100000000,846.6304645465,20504.4690557343
101.6700000000,844.2278504559,20504.4690557313
